Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT4,NO,01/01/2020 00:00,11.10000,ppb,P
CT4,NO,01/01/2020 00:15,20.50000,ppb,P
CT4,NO,01/01/2020 00:30,33.50000,ppb,P
CT4,NO,01/01/2020 00:45,51.30000,ppb,P
CT4,NO,01/01/2020 01:00,19.90000,ppb,P
CT4,NO,01/01/2020 01:15,21.50000,ppb,P
CT4,NO,01/01/2020 01:30,19.50000,ppb,P
CT4,NO,01/01/2020 01:45,25.40000,ppb,P
CT4,NO,01/01/2020 02:00,33.10000,ppb,P
CT4,NO,01/01/2020 02:15,26.40000,ppb,P
CT4,NO,01/01/2020 02:30,35.30000,ppb,P
CT4,NO,01/01/2020 02:45,37.70000,ppb,P
CT4,NO,01/01/2020 03:00,40.50000,ppb,P
CT4,NO,01/01/2020 03:15,37.60000,ppb,P
CT4,NO,01/01/2020 03:30,32.30000,ppb,P
CT4,NO,01/01/2020 03:45,15.00000,ppb,P
CT4,NO,01/01/2020 04:00,12.00000,ppb,P
CT4,NO,01/01/2020 04:15,24.90000,ppb,P
CT4,NO,01/01/2020 04:30,6.70000,ppb,P
CT4,NO,01/01/2020 04:45,25.30000,ppb,P
CT4,NO,01/01/2020 05:00,12.10000,ppb,P
CT4,NO,01/01/2020 05:15,12.40000,ppb,P
CT4,NO,01/01/2020 05:30,19.20000,ppb,P
CT4,NO,01/01/2020 05:45,9.30000,ppb,P
CT4,NO,01/01/2020 06:00,15.90000,ppb,P
CT4,NO,01/01/2020 06:15,8.60000,ppb,P
CT4,NO,01/01/2020 06:30,6.60000,ppb,P
CT4,NO,01/01/2020 06:45,9.60000,ppb,P
CT4,NO,01/01/2020 07:00,11.70000,ppb,P
CT4,NO,01/01/2020 07:15,9.10000,ppb,P
CT4,NO,01/01/2020 07:30,14.30000,ppb,P
CT4,NO,01/01/2020 07:45,43.10000,ppb,P
CT4,NO,01/01/2020 08:00,39.20000,ppb,P
CT4,NO,01/01/2020 08:15,36.20000,ppb,P
CT4,NO,01/01/2020 08:30,36.30000,ppb,P
CT4,NO,01/01/2020 08:45,36.10000,ppb,P
CT4,NO,01/01/2020 09:00,42.90000,ppb,P
CT4,NO,01/01/2020 09:15,42.80000,ppb,P
