Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT4,PM10,01/01/2020 00:00,35.30000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 00:15,36.60000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 00:30,36.60000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 00:45,40.10000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 01:00,42.80000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 01:15,44.30000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 01:30,44.10000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 01:45,43.20000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 02:00,48.50000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 02:15,48.30000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 02:30,49.20000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 02:45,50.70000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 03:00,49.60000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 03:15,44.60000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 03:30,45.70000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 03:45,44.40000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 04:00,42.40000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 04:15,36.60000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 04:30,36.70000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 04:45,35.10000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 05:00,36.00000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 05:15,33.60000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 05:30,32.80000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 05:45,34.10000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 06:00,34.70000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 06:15,34.40000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 06:30,34.80000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 06:45,32.00000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 07:00,33.00000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 07:15,35.70000,ug m-3 reference equiv by VCM,P
CT4,PM10,01/01/2020 07:30,33.00000,ug m-3 reference equiv by VCM,P
