Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT2,PM2.5,01/01/2020 00:00,34.00000,ug/m3,P
CT2,PM2.5,01/01/2020 00:15,34.00000,ug/m3,P
CT2,PM2.5,01/01/2020 00:30,34.00000,ug/m3,P
CT2,PM2.5,01/01/2020 00:45,34.00000,ug/m3,P
CT2,PM2.5,01/01/2020 01:00,45.00000,ug/m3,P
CT2,PM2.5,01/01/2020 01:15,45.00000,ug/m3,P
CT2,PM2.5,01/01/2020 01:30,45.00000,ug/m3,P
CT2,PM2.5,01/01/2020 01:45,45.00000,ug/m3,P
CT2,PM2.5,01/01/2020 02:00,43.00000,ug/m3,P
CT2,PM2.5,01/01/2020 02:15,43.00000,ug/m3,P
CT2,PM2.5,01/01/2020 02:30,43.00000,ug/m3,P
CT2,PM2.5,01/01/2020 02:45,43.00000,ug/m3,P
CT2,PM2.5,01/01/2020 03:00,45.00000,ug/m3,P
CT2,PM2.5,01/01/2020 03:15,45.00000,ug/m3,P
CT2,PM2.5,01/01/2020 03:30,45.00000,ug/m3,P
CT2,PM2.5,01/01/2020 03:45,45.00000,ug/m3,P
CT2,PM2.5,01/01/2020 04:00,37.00000,ug/m3,P
CT2,PM2.5,01/01/2020 04:15,37.00000,ug/m3,P
CT2,PM2.5,01/01/2020 04:30,37.00000,ug/m3,P
CT2,PM2.5,01/01/2020 04:45,37.00000,ug/m3,P
CT2,PM2.5,01/01/2020 05:00,41.00000,ug/m3,P
CT2,PM2.5,01/01/2020 05:15,41.00000,ug/m3,P
CT2,PM2.5,01/01/2020 05:30,41.00000,ug/m3,P
CT2,PM2.5,01/01/2020 05:45,41.00000,ug/m3,P
CT2,PM2.5,01/01/2020 06:00,36.00000,ug/m3,P
CT2,PM2.5,01/01/2020 06:15,36.00000,ug/m3,P
CT2,PM2.5,01/01/2020 06:30,36.00000,ug/m3,P
CT2,PM2.5,01/01/2020 06:45,36.00000,ug/m3,P
CT2,PM2.5,01/01/2020 07:00,37.00000,ug/m3,P
CT2,PM2.5,01/01/2020 07:15,37.00000,ug/m3,P
CT2,PM2.5,01/01/2020 07:30,37.00000,ug/m3,P
CT2,PM2.5,01/01/2020 07:45,37.00000,ug/m3,P
CT2,PM2.5,01/01/2020 08:00,39.00000,ug/m3,P
CT2,PM2.5,01/01/2020 08:15,39.00000,ug/m3,P
CT2,PM2.5,01/01/2020 08:30,39.00000,ug/m3,P
CT2,PM2.5,01/01/2020 08:45,39.00000,ug/m3,P
CT2,PM2.5,01/01/2020 09:00,31.00000,ug/m3,P
CT2,PM2.5,01/01/2020 09:15,31.00000,ug/m3,P
CT2,PM2.5,01/01/2020 09:30,31.00000,ug/m3,P
CT2,PM2.5,01/01/2020 09:45,31.00000,ug/m3,P
CT2,PM2.5,01/01/2020 10:00,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 10:15,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 10:30,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 10:45,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 11:00,38.00000,ug/m3,P
CT2,PM2.5,01/01/2020 11:15,38.00000,ug/m3,P
CT2,PM2.5,01/01/2020 11:30,38.00000,ug/m3,P
CT2,PM2.5,01/01/2020 11:45,38.00000,ug/m3,P
CT2,PM2.5,01/01/2020 12:00,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 12:15,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 12:30,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 12:45,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 13:00,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 13:15,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 13:30,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 13:45,35.00000,ug/m3,P
CT2,PM2.5,01/01/2020 14:00,31.00000,ug/m3,P
